State,year,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers
Florida,2012,59975,255655,23.45934951399347
Georgia,2012,32245,163865,19.677783541329752
Hawaii,2012,3925,24230,16.198926950061907
Idaho,2012,2090,25940,8.057054741711642
Illinois,2012,62320,249230,25.005015447578543
Indiana,2012,8970,91725,9.779231398201144
Iowa,2012,5840,50890,11.475731970917666
Kansas,2012,7010,51735,13.549821204213783
Kentucky,2012,4150,48725,8.517188301693176
Louisiana,2012,4040,49915,8.09375939096464
Maine,2012,980,19635,4.991087344028521
Maryland,2012,50310,229400,21.931124673060157
Massachusetts,2012,58060,204320,28.41620986687549
Michigan,2012,35890,196200,18.292558613659534
Minnesota,2012,21710,131625,16.493827160493826
Mississippi,2012,895,24595,3.6389510063020944
Missouri,2012,9870,99415,9.928079263692602
Montana,2012,480,17515,2.7405081358835286
Nebraska,2012,2870,33535,8.558222752348293
Nevada,2012,4365,30055,14.523373814673098
New Hampshire,2012,4670,39035,11.963622390162675
New Jersey,2012,89045,212855,41.833642620563296
New Mexico,2012,3090,36550,8.454172366621068
New York,2012,83885,308925,27.153839928785306
North Carolina,2012,27085,166625,16.255063765941486
North Dakota,2012,545,9440,5.773305084745763
Ohio,2012,28180,196110,14.36948651267146
Oklahoma,2012,5705,51195,11.143666373669303
Oregon,2012,13510,78445,17.222257632736312
Pennsylvania,2012,37245,237565,15.677814492875633
Rhode Island,2012,2995,18620,16.08485499462943
South Carolina,2012,5405,68275,7.91651409740022
South Dakota,2012,580,10885,5.3284336242535595
Tennessee,2012,10460,87740,11.921586505584681
Texas,2012,119685,470570,25.434048069362685
Utah,2012,5750,60975,9.43009430094301
Vermont,2012,700,14255,4.910557699052964
Virginia,2012,54910,269440,20.37930522565321
Washington,2012,52605,208300,25.25444071051368
West Virginia,2012,1580,22595,6.9926974994467805
Wisconsin,2012,9280,108365,8.563650625201864
Wyoming,2012,120,7210,1.6643550624133148
Puerto Rico,2012,1555,27230,5.710613294160852
United States,2013,1419880,6355655,22.340419673503362
Alabama,2013,5095,72160,7.06069844789357
Alaska,2013,1420,18595,7.636461414358699
Arizona,2013,21830,129590,16.84543560459912
Arkansas,2013,2915,32925,8.85345482156416
California,2013,357455,883910,40.44020318810739
Colorado,2013,19920,159235,12.509812541212673
Connecticut,2013,19715,82770,23.819016551890783
Delaware,2013,6415,21185,30.280859098418695
District of Columbia,2013,4935,29880,16.516064257028113
Florida,2013,61260,258100,23.73498643936459
Georgia,2013,35315,178310,19.805395098424093
Hawaii,2013,4140,23270,17.791147400085947
