State,year,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
Maine,1995,345.0,28153,1.2254466664298655
Maryland,1995,6865.0,139070,4.936362982670597
Massachusetts,1995,9970.0,196409,5.0761421319796955
Michigan,1995,13275.0,256615,5.173119264267482
Minnesota,1995,3087.0,135124,2.2845682484236702
Mississippi,1995,315.0,54984,0.5728939327804452
Missouri,1995,2498.0,140060,1.7835213479937169
Montana,1995,119.0,17519,0.6792625149837319
Nebraska,1995,336.0,45111,0.7448294207621201
Nevada,1995,445.0,49249,0.9035716461247943
New Hampshire,1995,598.0,31876,1.8760195758564437
New Jersey,1995,9128.0,263468,3.4645573656003763
New Mexico,1995,3295.0,42146,7.818061025957386
New York,1995,10955.0,582656,1.8801831612478033
North Carolina,1995,3192.0,193467,1.6498937803346307
North Dakota,1995,98.0,14842,0.6602883708395094
Ohio,1995,5315.0,297538,1.7863264524195228
Oklahoma,1995,529.0,70859,0.7465530137314949
Oregon,1995,1089.0,81554,1.3353115727002967
Pennsylvania,1995,6919.0,312989,2.210620820540019
Rhode Island,1995,897.0,25550,3.5107632093933465
South Carolina,1995,996.0,87248,1.141573445809646
South Dakota,1995,55.0,18054,0.30464163066356487
Tennessee,1995,1394.0,137061,1.0170653942405206
Texas,1995,8385.0,507725,1.6514845634940174
Utah,1995,1144.0,46746,2.4472682154622856
Vermont,1995,308.0,13891,2.217262976027644
Virginia,1995,3897.0,186236,2.092506282351425
Washington,1995,5241.0,155069,3.3797857727850182
West Virginia,1995,475.0,36149,1.3140059199424605
Wisconsin,1995,2226.0,135311,1.6450990680728101
Wyoming,1995,87.0,14608,0.5955640744797371
Puerto Rico,1995,,43246,
United States,1997,211894.0,8626416,2.45633876223915
Alabama,1997,1637.0,104812,1.5618440636568331
Alaska,1997,136.0,25811,0.5269071326178761
Arizona,1997,2410.0,132281,1.8218791814395112
Arkansas,1997,272.0,59846,0.4544998830331184
California,1997,41670.0,1071117,3.890331308344466
Colorado,1997,3205.0,136899,2.3411420098028475
Connecticut,1997,3454.0,138332,2.4968915363039645
Delaware,1997,1089.0,33353,3.265073606572123
District of Columbia,1997,2768.0,52504,5.271979277769312
Florida,1997,4784.0,401535,1.191427895451206
Georgia,1997,2272.0,242541,0.9367488383407341
Hawaii,1997,275.0,37707,0.7293075556262762
Idaho,1997,1270.0,29497,4.305522595518188
Illinois,1997,8034.0,415535,1.9334111446689208
Indiana,1997,3149.0,170432,1.8476577168606834
Iowa,1997,980.0,82720,1.1847195357833655
Kansas,1997,1351.0,74662,1.8094880930058128
Kentucky,1997,526.0,104546,0.503127809767949
Louisiana,1997,554.0,116313,0.4763010153637169
Maine,1997,149.0,30618,0.486641844666536
Maryland,1997,7395.0,159372,4.640087342820571
Massachusetts,1997,11097.0,237267,4.67700944505557
Michigan,1997,13991.0,299818,4.6664976752563225
Minnesota,1997,3605.0,156351,2.3057095893214625
Mississippi,1997,370.0,58353,0.6340719414597364
Missouri,1997,1826.0,163176,1.1190371133009758
Montana,1997,199.0,19290,1.0316226023846553
Nebraska,1997,275.0,49819,0.5519982336056525
Nevada,1997,517.0,60259,0.8579631258401235
New Hampshire,1997,799.0,38207,2.091239825162928
New Jersey,1997,12067.0,307817,3.920186344483898
New Mexico,1997,3028.0,52476,5.770256879335315
New York,1997,12307.0,718814,1.7121258072324692
North Carolina,1997,4667.0,233935,1.9949986107252016
North Dakota,1997,116.0,15761,0.7359939090159253
Ohio,1997,7145.0,343430,2.080482194333634
Oklahoma,1997,644.0,79044,0.8147360963513992
Oregon,1997,1520.0,100915,1.5062181043452412
Pennsylvania,1997,8209.0,356988,2.2995170706018127
Rhode Island,1997,1040.0,28929,3.5950084690103354
South Carolina,1997,1040.0,97425,1.0674878111367718
South Dakota,1997,71.0,19031,0.37307550838106246
Tennessee,1997,1566.0,154382,1.0143669598787424
Texas,1997,9487.0,610157,1.5548457200359906
Utah,1997,1381.0,57684,2.394078080576936
Vermont,1997,314.0,15455,2.031704949854416
Virginia,1997,4136.0,215102,1.9228087140054486
Washington,1997,7543.0,193826,3.891634765201779
West Virginia,1997,427.0,38778,1.1011398215483006
Wisconsin,1997,2256.0,153432,1.4703582042859378
Wyoming,1997,87.0,14655,0.593654042988741
Puerto Rico,1997,,48864,
United States,1998,225759.0,9117663,2.4760621224978374
Alabama,1998,1926.0,110212,1.7475411026022576
Alaska,1998,,24228,
Arizona,1998,2318.0,143303,1.617551621389643
Arkansas,1998,283.0,62397,0.45354744619132326
California,1998,43919.0,1147520,3.8272971277189067
Colorado,1998,4565.0,150330,3.036652697399055
Connecticut,1998,3559.0,145476,2.4464516483818635
Delaware,1998,2556.0,37106,6.8883738478952194
District of Columbia,1998,2606.0,54815,4.7541731277934876
Florida,1998,4773.0,429138,1.1122296324259329
Georgia,1998,2492.0,265347,0.9391476067187494
Hawaii,1998,242.0,37623,0.6432235600563485
Idaho,1998,1127.0,31060,3.628461043142305
Illinois,1998,8830.0,436567,2.0225990512338314
Indiana,1998,3089.0,184360,1.6755261444998917
Iowa,1998,1054.0,84644,1.2452152544775767
Kansas,1998,1518.0,78382,1.9366691332193615
Kentucky,1998,645.0,109382,0.5896765464153152
Louisiana,1998,542.0,120198,0.45092264430356577
Maine,1998,159.0,32156,0.4944644856325414
Maryland,1998,8019.0,169982,4.717558329705499
Massachusetts,1998,13382.0,249299,5.367851455481169
Michigan,1998,13655.0,312688,4.366972829145986
Minnesota,1998,3818.0,166905,2.287528833767712
Mississippi,1998,366.0,60940,0.6005907449950771
Missouri,1998,1868.0,169483,1.102175439424603
Montana,1998,191.0,20429,0.9349454207254393
Nebraska,1998,315.0,51822,0.6078499478985759
Nevada,1998,571.0,65114,0.8769235494670884
New Hampshire,1998,1340.0,40554,3.3042363268728114
New Jersey,1998,11368.0,319861,3.5540437877703126
New Mexico,1998,3032.0,50659,5.985116168893978
New York,1998,13731.0,745502,1.8418461654026412
North Carolina,1998,4560.0,246890,1.8469763862448862
North Dakota,1998,119.0,16817,0.7076172920259262
Ohio,1998,6970.0,361638,1.9273417063472311
Oklahoma,1998,513.0,81197,0.6317967412589135
Oregon,1998,1910.0,105147,1.8165045127297972
Pennsylvania,1998,8762.0,373749,2.3443540986062836
Rhode Island,1998,1677.0,30819,5.441448457120607
South Carolina,1998,989.0,103456,0.9559619548407052
South Dakota,1998,60.0,20228,0.2966185485465691
Tennessee,1998,2503.0,167395,1.495265688939335
Texas,1998,10774.0,645143,1.6700173449917304
Utah,1998,1495.0,62296,2.3998330550918197
Vermont,1998,175.0,16081,1.088240781045955
Virginia,1998,4934.0,231384,2.1323859903882725
Washington,1998,8466.0,209741,4.036406806489909
West Virginia,1998,421.0,40015,1.0521054604523303
Wisconsin,1998,2501.0,162609,1.5380452496479284
Wyoming,1998,65.0,14840,0.43800539083557954
Puerto Rico,1998,,54846,
United States,1999,244451.0,9689826,2.5227594386111782
Alabama,1999,1761.0,115680,1.5223029045643153
Alaska,1999,152.0,24744,0.6142903330100227
Arizona,1999,5091.0,155756,3.268573923315956
Arkansas,1999,378.0,66811,0.5657750969151786
California,1999,47965.0,1241900,3.8622272324663824
Colorado,1999,4209.0,163763,2.570177634752661
Connecticut,1999,4436.0,152288,2.912901870140786
Delaware,1999,1343.0,40345,3.3287891932085762
District of Columbia,1999,2510.0,58819,4.267328584300991
Florida,1999,4265.0,458059,0.9311027618712874
Georgia,1999,2960.0,289188,1.0235556108828858
Hawaii,1999,270.0,38991,0.6924674924982688
Idaho,1999,1309.0,34240,3.823014018691589
Illinois,1999,9719.0,460331,2.1113068639739665
Indiana,1999,2763.0,193147,1.430516653119127
Iowa,1999,1003.0,87782,1.1426032671846165
Kansas,1999,1556.0,81884,1.9002491329197402
Kentucky,1999,968.0,115107,0.8409566750936086
Louisiana,1999,626.0,125807,0.49758757461826447
Maine,1999,225.0,34413,0.6538226832882922
Maryland,1999,8087.0,180262,4.486247794876347
Massachusetts,1999,12190.0,264644,4.606187935490698
Michigan,1999,18799.0,338312,5.55670505332356
Minnesota,1999,3905.0,175759,2.2217923406482742
Mississippi,1999,476.0,63879,0.7451588158862851
Missouri,1999,2009.0,177738,1.1303154080725564
Montana,1999,169.0,20812,0.8120315202767634
Nebraska,1999,417.0,53685,0.7767532830399553
Nevada,1999,458.0,71596,0.6397005419297167
New Hampshire,1999,1256.0,41955,2.9936837087355497
New Jersey,1999,10536.0,336065,3.135107791647449
New Mexico,1999,3279.0,53017,6.184808646283268
New York,1999,14110.0,795230,1.774329439281717
North Carolina,1999,5268.0,265376,1.9851079223441457
North Dakota,1999,168.0,17067,0.9843557743012831
Ohio,1999,8082.0,376465,2.146813116757202
Oklahoma,1999,664.0,84224,0.7883738601823709
Oregon,1999,1974.0,107622,1.8341974689189942
Pennsylvania,1999,10695.0,390917,2.7358748788105918
Rhode Island,1999,1651.0,32267,5.116682678897945
South Carolina,1999,979.0,110242,0.888046298144083
South Dakota,1999,60.0,21079,0.2846434840362446
Tennessee,1999,2290.0,176282,1.2990549233614324
Texas,1999,12429.0,679870,1.828143615691235
Utah,1999,1474.0,66019,2.232690589072843
Vermont,1999,389.0,17177,2.264656226349188
Virginia,1999,5100.0,249801,2.0416251336063507
Washington,1999,8336.0,229798,3.6275337470300006
West Virginia,1999,439.0,41714,1.052404468523757
Wisconsin,1999,2566.0,172224,1.4899201040505388
Wyoming,1999,66.0,15680,0.42091836734693877
Puerto Rico,1999,,58654,
United States,2000,267950.0,10313521,2.5980458080223037
Alabama,2000,1730.0,119852,1.4434469178653673
Alaska,2000,196.0,26807,0.7311523109635543
Arizona,2000,3107.0,165111,1.8817643888051068
Arkansas,2000,454.0,68679,0.6610463169236593
California,2000,55093.0,1356975,4.059986366734833
Colorado,2000,4230.0,180063,2.349177787774279
Connecticut,2000,4888.0,165614,2.9514413032714626
Delaware,2000,1532.0,43451,3.5258106832984284
District of Columbia,2000,2296.0,61093,3.7582047043032754
Florida,2000,4663.0,490430,0.950798279061232
Georgia,2000,2796.0,305572,0.9150053015328629
Hawaii,2000,291.0,41097,0.708080881816191
Idaho,2000,1434.0,38083,3.76545965391382
Illinois,2000,12767.0,487015,2.6214798312166976
Indiana,2000,3252.0,203801,1.5956742116083826
Iowa,2000,1017.0,93112,1.0922330097087378
Kansas,2000,1420.0,86099,1.6492642190966214
Kentucky,2000,866.0,114169,0.7585246432919619
Louisiana,2000,627.0,132641,0.4727045182108096
Maine,2000,319.0,36890,0.8647329899701817
Maryland,2000,8634.0,192021,4.496383208086615
Massachusetts,2000,13004.0,288791,4.502910409257907
Michigan,2000,18892.0,352152,5.3647288670801245
Minnesota,2000,4299.0,191515,2.2447327885544213
Mississippi,2000,513.0,65673,0.7811429354529258
Missouri,2000,2583.0,186650,1.3838735601392982
Montana,2000,170.0,21877,0.7770718105773187
Nebraska,2000,439.0,56528,0.7766062836116615
Nevada,2000,377.0,76833,0.4906745799331017
New Hampshire,2000,775.0,45342,1.7092320585770366
New Jersey,2000,13133.0,361005,3.637899752080996
New Mexico,2000,3085.0,55105,5.598403048725161
New York,2000,13556.0,841181,1.6115437700090707
North Carolina,2000,5045.0,278009,1.8146894524997392
North Dakota,2000,146.0,18100,0.8066298342541436
Ohio,2000,7662.0,392277,1.9532116336160417
Oklahoma,2000,660.0,91094,0.724526313478385
Oregon,2000,2116.0,117155,1.806154240109257
Pennsylvania,2000,9842.0,409160,2.4054159741910253
Rhode Island,2000,1501.0,34467,4.354890184814461
South Carolina,2000,1126.0,115321,0.9764049912851952
South Dakota,2000,85.0,22743,0.37374137097128785
Tennessee,2000,2057.0,182247,1.128687989377054
Texas,2000,11552.0,738677,1.563877039626251
Utah,2000,1361.0,70296,1.9360987822920224
Vermont,2000,465.0,18341,2.535303418570416
Virginia,2000,5069.0,268471,1.8880996457717965
Washington,2000,10516.0,237378,4.430065128192166
West Virginia,2000,457.0,42496,1.0753953313253013
Wisconsin,2000,2693.0,180427,1.4925704024342255
Wyoming,2000,61.0,17153,0.35562292310383026
Puerto Rico,2000,,62569,
United States,2002,277911.0,11001739,2.526064288563835
Alabama,2002,2323.0,127505,1.8218893376730323
Alaska,2002,308.0,29757,1.03505057633498
Arizona,2002,4096.0,180522,2.2689755265286227
Arkansas,2002,427.0,74114,0.5761394608306123
California,2002,51388.0,1418430,3.622878816719895
Colorado,2002,4218.0,190019,2.2197780221977803
Connecticut,2002,6774.0,173248,3.9100018470631692
Delaware,2002,1319.0,45508,2.8983914916058713
District of Columbia,2002,2706.0,69920,3.8701372997711667
Florida,2002,5498.0,553010,0.9941954033380952
Georgia,2002,3935.0,327051,1.2031762630293135
Hawaii,2002,456.0,44644,1.0214138518053937
Idaho,2002,1370.0,38673,3.542523207405684
Illinois,2002,10190.0,514361,1.9810988780253558
Indiana,2002,4326.0,212838,2.032531784737688
Iowa,2002,1346.0,98557,1.36570715423562
Kansas,2002,1865.0,91584,2.0363819007686934
Kentucky,2002,1128.0,122435,0.9213051823416507
Louisiana,2002,858.0,139801,0.61372951552564
Maine,2002,429.0,40466,1.0601492611080907
Maryland,2002,9030.0,217837,4.14530130326804
Massachusetts,2002,14316.0,301836,4.742973005208126
Michigan,2002,15082.0,363661,4.147269022523724
Minnesota,2002,5247.0,203714,2.575669811598614
Mississippi,2002,691.0,69260,0.9976898642795264
Missouri,2002,2478.0,197558,1.2543151884509864
Montana,2002,236.0,23942,0.9857154790744298
Nebraska,2002,663.0,61417,1.0795056743246985
Nevada,2002,524.0,85009,0.6164053217894576
New Hampshire,2002,1435.0,49060,2.9249898083978803
New Jersey,2002,13020.0,386133,3.371895176014482
New Mexico,2002,4689.0,57808,8.111334071408802
New York,2002,13354.0,890258,1.5000146025084864
North Carolina,2002,5135.0,297846,1.724045312006876
North Dakota,2002,295.0,20195,1.4607576132706115
Ohio,2002,8310.0,411035,2.0217256438016227
Oklahoma,2002,793.0,99479,0.7971531680053077
Oregon,2002,2892.0,120666,2.396698324300134
Pennsylvania,2002,9763.0,440972,2.21397276924612
Rhode Island,2002,1639.0,37809,4.334946705810785
South Carolina,2002,1668.0,124864,1.3358534085084572
South Dakota,2002,111.0,26322,0.42170047868702987
Tennessee,2002,2568.0,195764,1.3117835761427026
Texas,2002,14223.0,789818,1.8007946134425905
Utah,2002,1572.0,75797,2.073960710846076
Vermont,2002,398.0,20273,1.9632022887584473
Virginia,2002,5895.0,295356,1.995896477471255
Washington,2002,10511.0,245979,4.273129006947748
West Virginia,2002,542.0,45581,1.189091946205656
Wisconsin,2002,3585.0,194659,1.8416821210424383
Wyoming,2002,80.0,19166,0.41740582281122823
Puerto Rico,2002,,72631,
United States,2003,291365.0,11532329,2.5265061376587505
Alabama,2003,2543.0,134153,1.8955968185579153
Alaska,2003,321.0,32038,1.0019352019476873
Arizona,2003,3578.0,193635,1.8478064399514553
Arkansas,2003,509.0,78695,0.6468009403392846
California,2003,59664.0,1497919,3.9831259233643475
Colorado,2003,5012.0,196127,2.5554870058686463
Connecticut,2003,6548.0,178702,3.6642007364215288
Delaware,2003,1414.0,47686,2.9652308853751626
District of Columbia,2003,2686.0,73957,3.631840123314899
Florida,2003,5172.0,590483,0.8758931247808996
Georgia,2003,3923.0,342576,1.1451473541637476
Hawaii,2003,438.0,48166,0.9093551467840385
Idaho,2003,1209.0,40491,2.9858487071201005
Illinois,2003,11045.0,533023,2.0721432283409906
Indiana,2003,4487.0,225443,1.9903035357052556
Iowa,2003,1451.0,105123,1.3802878532766378
Kansas,2003,2024.0,95360,2.12248322147651
Kentucky,2003,1014.0,127982,0.7922989170352082
Louisiana,2003,954.0,155092,0.615118768214995
Maine,2003,372.0,42315,0.8791208791208791
Maryland,2003,10162.0,228959,4.438349224096891
Massachusetts,2003,15638.0,311189,5.025241894797053
Michigan,2003,16884.0,374174,4.512339179098494
