State,year,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
United States,2016,521700.0,18799443,2.7750822191912814
Alabama,2016,5052.0,207368,2.436248601520003
Alaska,2016,303.0,50728,0.5973032644693266
Arizona,2016,8040.0,313081,2.5680255269403127
Arkansas,2016,701.0,119152,0.5883241573788103
California,2016,135129.0,2569634,5.2586866456468115
Colorado,2016,6874.0,329912,2.083585925943888
Connecticut,2016,9295.0,263670,3.525239883187317
Delaware,2016,2285.0,69355,3.2946435008290678
District of Columbia,2016,3516.0,129649,2.711937616179068
Florida,2016,9781.0,953353,1.0259578561141571
Georgia,2016,7659.0,547547,1.3987840313251647
Hawaii,2016,553.0,83914,0.6590080320327955
Idaho,2016,2304.0,68837,3.347037203829336
Illinois,2016,17495.0,807043,2.167790316005467
Indiana,2016,7442.0,340501,2.185602979139562
Iowa,2016,3787.0,181011,2.0921380468590307
Kansas,2016,2790.0,160451,1.7388486204511036
Kentucky,2016,1650.0,196485,0.8397587602107031
Louisiana,2016,1025.0,227091,0.45136090818218244
Maine,2016,483.0,60254,0.8016065323464003
Maryland,2016,21730.0,387733,5.604372080787552
Massachusetts,2016,28941.0,514638,5.623564524967064
Michigan,2016,21803.0,490264,4.44719579655043
Minnesota,2016,8370.0,344061,2.432708153496037
Mississippi,2016,920.0,107291,0.8574810561929704
Missouri,2016,7204.0,300915,2.394031537145041
Montana,2016,394.0,45491,0.866105383482447
Nebraska,2016,1129.0,118146,0.9555973118006534
Nevada,2016,789.0,151840,0.5196259220231824
New Hampshire,2016,2344.0,79090,2.963712226577317
New Jersey,2016,17564.0,575501,3.0519495187671266
New Mexico,2016,6306.0,89769,7.024696721585403
New York,2016,23212.0,1551354,1.4962413478806256
North Carolina,2016,13415.0,526030,2.5502347774841736
North Dakota,2016,515.0,51989,0.9905941641501086
Ohio,2016,11991.0,623265,1.9239007484777744
Oklahoma,2016,1371.0,181244,0.7564388338372581
Oregon,2016,7382.0,211306,3.4935117791260066
Pennsylvania,2016,17420.0,726562,2.3975930478059686
Rhode Island,2016,1641.0,57354,2.8611779474840464
South Carolina,2016,2276.0,215120,1.0580141316474527
South Dakota,2016,289.0,49151,0.5879839677727818
Tennessee,2016,4545.0,336414,1.3510139292657262
Texas,2016,23431.0,1579015,1.4838997729597247
Utah,2016,4157.0,157827,2.6338966083116326
Vermont,2016,376.0,31661,1.1875809355358327
Virginia,2016,9333.0,496021,1.881573562409656
Washington,2016,22902.0,487275,4.700015391719255
West Virginia,2016,450.0,70924,0.6344819807117478
Wisconsin,2016,6517.0,314073,2.0749953036395996
Wyoming,2016,292.0,35879,0.8138465397586331
Puerto Rico,2016,127.0,104337,0.12172096188312871
United States,2017,554012.0,19583069,2.8290356327703283
Alabama,2017,5879.0,215086,2.7333252745413463
Alaska,2017,1146.0,53089,2.1586392661379947
Arizona,2017,7826.0,330416,2.3685293690378186
Arkansas,2017,812.0,122350,0.6636697997548018
California,2017,150552.0,2730974,5.51275845174652
Colorado,2017,7159.0,348898,2.0518890907944445
Connecticut,2017,10018.0,271583,3.688743404410438
Delaware,2017,2265.0,68764,3.29387470187889
District of Columbia,2017,4557.0,133391,3.4162724621601157
Florida,2017,10156.0,1002568,1.0129986195450085
Georgia,2017,9056.0,574404,1.576590692265374
Hawaii,2017,558.0,87178,0.6400697423661933
Idaho,2017,2442.0,71688,3.4064278540341477
Illinois,2017,18120.0,827075,2.190853308345676
Indiana,2017,7814.0,353150,2.2126575109726745
Iowa,2017,3900.0,183550,2.1247616453282485
Kansas,2017,2819.0,164923,1.7092825136578889
Kentucky,2017,1596.0,201555,0.7918434174294858
Louisiana,2017,1058.0,241704,0.4377254824082349
Maine,2017,520.0,62413,0.8331597583836701
Maryland,2017,20859.0,400406,5.209462395668397
Massachusetts,2017,31299.0,532354,5.879358471994199
Michigan,2017,23855.0,501752,4.754340789872288
Minnesota,2017,8470.0,354684,2.388041185957077
Mississippi,2017,991.0,109963,0.9012122259305403
Missouri,2017,6518.0,308722,2.1112845861325074
Montana,2017,414.0,48440,0.8546655656482246
Nebraska,2017,1150.0,121946,0.943040362127499
Nevada,2017,846.0,160785,0.5261684858662188
New Hampshire,2017,1845.0,80666,2.287208985198225
New Jersey,2017,18495.0,586375,3.154124920059689
New Mexico,2017,6595.0,92311,7.144327328270737
New York,2017,23631.0,1603903,1.4733434627904556
North Carolina,2017,13799.0,549671,2.5104107729896614
North Dakota,2017,592.0,55228,1.0719200405591367
Ohio,2017,13056.0,641746,2.0344497667301393
Oklahoma,2017,1531.0,190675,0.8029369345745379
Oregon,2017,8579.0,222614,3.8537558284744
Pennsylvania,2017,15998.0,745011,2.1473508444841753
Rhode Island,2017,1410.0,57941,2.4335099497764965
South Carolina,2017,2360.0,223045,1.058082449729875
South Dakota,2017,343.0,50299,0.6819221058072725
Tennessee,2017,4521.0,349838,1.292312441758757
Texas,2017,27113.0,1677111,1.616649106707904
Utah,2017,3664.0,168058,2.1801996929631438
Vermont,2017,381.0,32247,1.181505256302912
Virginia,2017,8897.0,509893,1.7448758857250442
Washington,2017,24958.0,519943,4.800141553978032
West Virginia,2017,492.0,74800,0.6577540106951871
Wisconsin,2017,7020.0,318364,2.205023181012929
Wyoming,2017,219.0,36864,0.5940755208333333
Puerto Rico,2017,558.0,103446,0.5394118670610754
United States,2018,604837.0,20628117,2.9320999100402623
Alabama,2018,4876.0,224047,2.1763290738104057
Alaska,2018,297.0,54712,0.5428425208363795
Arizona,2018,7773.0,349908,2.2214410645083853
Arkansas,2018,852.0,127307,0.6692483524079587
California,2018,164398.0,2895101,5.678489282411909
Colorado,2018,7712.0,371425,2.076327656996702
Connecticut,2018,8851.0,280692,3.1532783264218436
Delaware,2018,2594.0,72488,3.578523341794504
District of Columbia,2018,5632.0,139785,4.029044604213613
Florida,2018,10516.0,1057862,0.9940805133372784
Georgia,2018,7817.0,602340,1.2977720224457947
Hawaii,2018,633.0,90276,0.7011830386813771
Idaho,2018,3172.0,77494,4.093220120267375
Illinois,2018,17119.0,867536,1.9732898692388559
Indiana,2018,8595.0,373518,2.301093923184425
Iowa,2018,4324.0,190403,2.2709726212297077
Kansas,2018,3261.0,172328,1.8923216192377326
Kentucky,2018,2044.0,208250,0.9815126050420169
Louisiana,2018,1237.0,255810,0.4835620186857433
Maine,2018,527.0,65492,0.8046784340072071
Maryland,2018,23112.0,411100,5.621989783507662
Massachusetts,2018,35335.0,564047,6.2645488762461286
