State,year,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e
Missouri,2005,640,92260.0,6.936917407327119
Montana,2005,97,11940.0,8.12395309882747
Nebraska,2005,175,31530.0,5.550269584522677
Nevada,2005,379,24400.0,15.532786885245903
New Hampshire,2005,498,26840.0,18.554396423248882
New Jersey,2005,2510,174270.0,14.40293796981695
New Mexico,2005,266,32530.0,8.177067322471565
New York,2005,4694,289010.0,16.241652537974467
North Carolina,2005,1600,134290.0,11.914513366594683
North Dakota,2005,76,9070.0,8.379272326350605
Ohio,2005,2323,180900.0,12.841348811498065
Oklahoma,2005,406,46370.0,8.755660987707568
Oregon,2005,1632,62030.0,26.30985007254554
Pennsylvania,2005,2332,204270.0,11.416262789445343
Rhode Island,2005,258,18080.0,14.26991150442478
South Carolina,2005,458,50460.0,9.076496234641299
South Dakota,2005,69,9460.0,7.293868921775899
Tennessee,2005,587,66390.0,8.841693026058142
Texas,2005,5262,389550.0,13.507893723527147
Utah,2005,555,45110.0,12.303258700953226
Vermont,2005,363,12770.0,28.425998433829285
Virginia,2005,960,236650.0,4.056623705894782
Washington,2005,2275,160960.0,14.133946322067594
West Virginia,2005,92,16040.0,5.735660847880299
Wisconsin,2005,1476,93590.0,15.77091569612138
Wyoming,2005,46,7350.0,6.258503401360544
Puerto Rico,2005,25,20950.0,1.1933174224343677
United States,2006,89375,5407710.0,16.527328573462704
Alabama,2006,368,66100.0,5.567322239031769
Alaska,2006,34,10720.0,3.171641791044776
Arizona,2006,1669,98110.0,17.011517684231983
Arkansas,2006,144,24860.0,5.792437650844731
California,2006,22191,,
Colorado,2006,2120,133730.0,15.85283780752262
Connecticut,2006,1659,79380.0,20.8994708994709
Delaware,2006,367,21550.0,17.03016241299304
District of Columbia,2006,69,64120.0,1.0761072988147222
Florida,2006,2567,246190.0,10.426906048174175
Georgia,2006,1476,136470.0,10.815563860189052
Hawaii,2006,87,18940.0,4.593453009503696
Idaho,2006,1661,,
Illinois,2006,3211,222470.0,14.433406751472107
