State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
Illinois,2006,2003465.0,222470.0,9005.551310289027,3211.0,222470.0,14.433406751472107,50155.0,227480.0,22.048092139968347,13609.0,624243.0,2.180080513517973
Indiana,2006,583214.0,80110.0,7280.164773436525,1191.0,80110.0,14.867057795531144,10525.0,95375.0,11.035386631716907,5784.0,259603.0,2.228017395792807
Iowa,2006,548687.0,43670.0,12564.39203114266,662.0,43670.0,15.159148156629264,3430.0,44020.0,7.791912766924125,1715.0,127896.0,1.3409332582723463
Kansas,2006,294492.0,48620.0,6057.013574660633,480.0,48620.0,9.872480460715757,6315.0,47325.0,13.34389857369255,2441.0,114092.0,2.139501454966168
Kentucky,2006,240041.0,44680.0,5372.448522829006,416.0,44680.0,9.310653536257831,4120.0,41670.0,9.887209023278135,1342.0,153408.0,0.8747914059240717
Louisiana,2006,322644.0,40180.0,8029.965156794426,328.0,40180.0,8.16326530612245,3500.0,42180.0,8.297771455666192,972.0,207774.0,0.467815992376332
Maine,2006,229196.0,15950.0,14369.655172413792,144.0,15950.0,9.028213166144202,1195.0,20745.0,5.760424198602073,450.0,49045.0,0.9175247221939036
Maryland,2006,12746621.0,159470.0,79931.1531949583,1387.0,159470.0,8.697560669718442,46000.0,209625.0,21.943947525342875,14493.0,274145.0,5.286618395374711
Massachusetts,2006,6875787.0,198670.0,34609.0854180299,3975.0,198670.0,20.008053556148383,52055.0,194170.0,26.80898182005459,20577.0,359270.0,5.727447323739806
Michigan,2006,1700258.0,208520.0,8153.932476501055,3729.0,208520.0,17.883176673700362,33575.0,200125.0,16.777014366021238,18189.0,401869.0,4.526101789389079
Minnesota,2006,1241556.0,125930.0,9859.096323354244,2949.0,125930.0,23.41777177797189,14900.0,117585.0,12.67168431347536,7149.0,252296.0,2.8335764340298697
Mississippi,2006,554898.0,24910.0,22276.114010437574,124.0,24910.0,4.97792051384986,1420.0,24975.0,5.685685685685685,758.0,87100.0,0.8702640642939151
Missouri,2006,1315557.0,96420.0,13644.026135656502,736.0,96420.0,7.633271105579755,8725.0,85700.0,10.180863477246207,3650.0,236386.0,1.5440846750653592
Montana,2006,151336.0,13010.0,11632.28285933897,120.0,13010.0,9.223674096848578,300.0,13530.0,2.217294900221729,307.0,33166.0,0.9256467466682748
Nebraska,2006,178121.0,32500.0,5480.6461538461535,180.0,32500.0,5.538461538461538,3260.0,27560.0,11.828737300435414,840.0,78814.0,1.0658004922983226
Nevada,2006,436217.0,26930.0,16198.180467879689,382.0,26930.0,14.184923876717416,3670.0,30865.0,11.890490847237972,792.0,125848.0,0.6293306210666836
New Hampshire,2006,400408.0,27680.0,14465.606936416185,613.0,27680.0,22.145953757225435,5365.0,35900.0,14.944289693593316,2121.0,60017.0,3.5339987003682287
New Jersey,2006,2172700.0,176460.0,12312.705428992404,3115.0,176460.0,17.65272583021648,79420.0,199365.0,39.83648082662453,16259.0,457593.0,3.5531575002239983
New Mexico,2006,3315034.0,30800.0,107630.97402597402,349.0,30800.0,11.331168831168831,3715.0,38830.0,9.56734483646665,5789.0,77610.0,7.459090323411932
New York,2006,5368152.0,306810.0,17496.665688862817,5581.0,306810.0,18.190411003552686,80035.0,285495.0,28.033765915340027,14366.0,1075155.0,1.3361794345931517
North Carolina,2006,1771359.0,138790.0,12762.871964838963,1955.0,138790.0,14.086029252828014,17025.0,137430.0,12.388124863566908,7710.0,387525.0,1.9895490613508804
North Dakota,2006,117851.0,9360.0,12590.918803418805,68.0,9360.0,7.264957264957265,440.0,9205.0,4.780010863661054,316.0,26501.0,1.192407833666654
Ohio,2006,2723931.0,185190.0,14708.84497003078,2611.0,185190.0,14.099033425130946,20935.0,184895.0,11.322642580924308,9431.0,482738.0,1.953647734381797
Oklahoma,2006,271137.0,50770.0,5340.4963561158165,552.0,50770.0,10.87256253693126,4160.0,43995.0,9.455619956813274,888.0,137437.0,0.6461142196060741
Oregon,2006,510101.0,64520.0,7906.091134531928,2074.0,64520.0,32.14507129572225,10905.0,70405.0,15.488956750230804,4104.0,153593.0,2.671996770686164
Pennsylvania,2006,3299694.0,214910.0,15353.841142803964,2857.0,214910.0,13.293936996882415,31490.0,214325.0,14.692639682724836,12929.0,531274.0,2.433584176903067
Rhode Island,2006,622502.0,18060.0,34468.54928017718,277.0,18060.0,15.337763012181618,2520.0,18710.0,13.468733297701762,2000.0,47204.0,4.236929073807304
South Carolina,2006,373812.0,53230.0,7022.58125117415,573.0,53230.0,10.764606424948338,4105.0,55815.0,7.354653766908537,2164.0,153648.0,1.408414037280017
South Dakota,2006,75926.0,10120.0,7502.569169960474,74.0,10120.0,7.312252964426878,650.0,9200.0,7.065217391304348,191.0,32365.0,0.5901436737216129
Tennessee,2006,1489072.0,67040.0,22211.694510739857,665.0,67040.0,9.91945107398568,6000.0,72085.0,8.323506970937087,3263.0,243584.0,1.3395789542827117
Texas,2006,5914690.0,408710.0,14471.60578405226,6236.0,408710.0,15.25776222749627,84915.0,388135.0,21.87769719298697,17059.0,1103198.0,1.5463226002947794
Utah,2006,845844.0,49690.0,17022.418997786273,700.0,49690.0,14.087341517407928,3790.0,48830.0,7.761621953716976,1945.0,106537.0,1.8256568140645968
Vermont,2006,105544.0,12780.0,8258.528951486698,435.0,12780.0,34.03755868544601,770.0,13305.0,5.787298008267569,493.0,24332.0,2.0261384185434816
Virginia,2006,8994337.0,251720.0,35731.51517559193,1101.0,251720.0,4.37390751628794,43480.0,243840.0,17.831364829396325,9867.0,376236.0,2.6225560552419225
Washington,2006,4087134.0,171780.0,23792.83967865875,3244.0,171780.0,18.884619862614976,34575.0,170255.0,20.307773633667143,13585.0,314265.0,4.3227849108236684
West Virginia,2006,301416.0,17150.0,17575.27696793003,102.0,17150.0,5.947521865889213,1030.0,15110.0,6.816677696889477,534.0,57010.0,0.936677775828802
Wisconsin,2006,635675.0,96860.0,6562.822630600867,1687.0,96860.0,17.4168903572166,7465.0,96005.0,7.7756366855892916,4132.0,237569.0,1.7392841658633913
Wyoming,2006,36169.0,7640.0,4734.162303664922,48.0,7640.0,6.282722513089006,175.0,6495.0,2.6943802925327174,129.0,32740.0,0.3940134392180818
Puerto Rico,2006,98790.0,23850.0,4142.138364779874,27.0,23850.0,1.1320754716981132,2075.0,24695.0,8.402510629682123,,87276.0,
United States,2007,124900312.0,5591990.0,22335.5749920869,79169.0,5591990.0,14.157571812539008,1119060.0,5570035.0,20.09071756281603,377890.0,14563752.0,2.5947297097616056
Alabama,2007,2247589.0,69650.0,32269.763101220386,305.0,69650.0,4.379038047379756,3745.0,64005.0,5.851105382392001,3289.0,172975.0,1.9014308426073128
Alaska,2007,263999.0,11990.0,22018.265221017515,18.0,11990.0,1.5012510425354462,510.0,13240.0,3.8519637462235647,311.0,49584.0,0.6272184575669572
Arizona,2007,2422351.0,102380.0,23660.392654815398,1559.0,102380.0,15.227583512404768,17945.0,106705.0,16.817393749121408,5006.0,261392.0,1.915131297055763
Arkansas,2007,177694.0,28460.0,6243.640196767393,115.0,28460.0,4.040758959943781,1645.0,25675.0,6.407010710808179,632.0,98382.0,0.642393933849688
California,2007,26987180.0,753570.0,35812.439454861524,19576.0,753570.0,25.977679578539483,285045.0,773975.0,36.828708937627184,77608.0,1898902.0,4.086993430940617
Colorado,2007,2797532.0,138990.0,20127.577523562846,1747.0,138990.0,12.569249586301172,14755.0,138135.0,10.681579614145582,6828.0,248447.0,2.7482722673246207
Connecticut,2007,2116827.0,80280.0,26368.04932735426,1380.0,80280.0,17.189835575485798,16990.0,81025.0,20.968836778771983,10228.0,234541.0,4.3608580162956585
Delaware,2007,130615.0,22140.0,5899.503161698283,337.0,22140.0,15.221318879855463,3880.0,16230.0,23.90634627233518,1607.0,56613.0,2.8385706463179834
District of Columbia,2007,4277707.0,63150.0,67738.8281868567,72.0,63150.0,1.1401425178147269,2840.0,20035.0,14.175193411529824,3862.0,93785.0,4.117929306392281
Florida,2007,4078193.0,244140.0,16704.321291062504,2307.0,244140.0,9.449496190710247,46815.0,236670.0,19.78070731398149,7158.0,782713.0,0.9145114492796208
Georgia,2007,1686209.0,136880.0,12318.885154880189,1299.0,136880.0,9.490064289888954,24690.0,153035.0,16.133564217335902,4425.0,419606.0,1.0545607069488996
Hawaii,2007,379219.0,18740.0,20235.80576307364,70.0,18740.0,3.735325506937033,2810.0,21145.0,13.289193662804449,592.0,64164.0,0.9226357459011284
Idaho,2007,287474.0,24330.0,11815.61857788738,1348.0,24330.0,55.404849979449246,1645.0,24560.0,6.697882736156352,1115.0,53935.0,2.0673032353759155
Illinois,2007,2145050.0,225180.0,9525.93480770939,2868.0,225180.0,12.736477484678923,52000.0,233415.0,22.27791701475912,14287.0,650145.0,2.1975097862784456
Indiana,2007,596645.0,83080.0,7181.571978815599,1139.0,83080.0,13.70967741935484,8795.0,90950.0,9.670148433205055,5980.0,273510.0,2.186391722423312
Iowa,2007,662401.0,45430.0,14580.695575610833,596.0,45430.0,13.119084305524984,3420.0,43845.0,7.800205268559698,1882.0,137930.0,1.364460233451751
Kansas,2007,317801.0,50040.0,6350.939248601118,413.0,50040.0,8.25339728217426,4735.0,46335.0,10.219056868457969,1697.0,123879.0,1.369885129844445
Kentucky,2007,222172.0,49030.0,4531.348154191312,432.0,49030.0,8.810932082398532,4035.0,43360.0,9.30581180811808,1406.0,157164.0,0.8946069074342725
Louisiana,2007,419401.0,38450.0,10907.698309492847,261.0,38450.0,6.788036410923277,3510.0,42790.0,8.202851133442394,1073.0,203041.0,0.5284646943228215
Maine,2007,378810.0,15960.0,23734.962406015035,113.0,15960.0,7.080200501253133,1730.0,19505.0,8.869520635734427,485.0,50459.0,0.9611764006421056
Maryland,2007,11905814.0,162540.0,73248.51728805217,1206.0,162540.0,7.419712070874862,43780.0,205670.0,21.286526960665142,14130.0,282966.0,4.993532791925532
Massachusetts,2007,7528907.0,205610.0,36617.41646807062,3521.0,205610.0,17.12465347016196,48110.0,195355.0,24.626961173248706,24557.0,378519.0,6.487653195744467
Michigan,2007,1726084.0,212040.0,8140.3697415581955,3143.0,212040.0,14.82267496698736,35355.0,199000.0,17.766331658291456,17402.0,409615.0,4.248379575943264
Minnesota,2007,1386789.0,129840.0,10680.753234750462,2572.0,129840.0,19.808995686999385,17250.0,118755.0,14.525704180876597,7533.0,262063.0,2.8744996432155627
Mississippi,2007,433902.0,25520.0,17002.42946708464,140.0,25520.0,5.4858934169279,1055.0,24930.0,4.231849177697553,838.0,91191.0,0.9189503350111304
Missouri,2007,1220627.0,102170.0,11947.019673093862,686.0,102170.0,6.714299696584124,8630.0,84625.0,10.197932053175776,3754.0,244331.0,1.536440320712476
Montana,2007,653627.0,13240.0,49367.59818731118,107.0,13240.0,8.081570996978853,315.0,11440.0,2.753496503496504,859.0,36233.0,2.3707669803770046
Nebraska,2007,230075.0,31420.0,7322.565245066836,205.0,31420.0,6.524506683640993,2965.0,27560.0,10.75834542815675,900.0,83835.0,1.0735373054213635
Nevada,2007,321050.0,26920.0,11926.077265973254,363.0,26920.0,13.48439821693908,3160.0,23620.0,13.378492802709568,794.0,131621.0,0.6032472021941787
New Hampshire,2007,339923.0,28450.0,11948.084358523723,541.0,28450.0,19.015817223198592,4915.0,38180.0,12.873232058669458,2146.0,61782.0,3.47350360946554
New Jersey,2007,2191960.0,186120.0,11777.13303245218,2656.0,186120.0,14.27036320653342,80925.0,210910.0,38.36944668341947,19552.0,474868.0,4.117354717521501
New Mexico,2007,3478018.0,33440.0,104007.71531100478,288.0,33440.0,8.61244019138756,3425.0,36075.0,9.494109494109496,5663.0,80800.0,7.008663366336634
New York,2007,5367562.0,322520.0,16642.57100334863,4958.0,322520.0,15.37269006573236,80385.0,297210.0,27.046532754617942,15939.0,1119382.0,1.4239106935791357
North Carolina,2007,1828443.0,142970.0,12788.99769182346,1727.0,142970.0,12.079457228789256,18735.0,147775.0,12.678057858230416,9204.0,401491.0,2.292454874455467
North Dakota,2007,115779.0,9660.0,11985.403726708077,76.0,9660.0,7.867494824016562,350.0,10060.0,3.4791252485089466,327.0,29075.0,1.124677558039553
Ohio,2007,3660876.0,196390.0,18640.84729365039,2239.0,196390.0,11.400784153979329,22310.0,195415.0,11.416728500882735,10041.0,497762.0,2.0172291175300643
Oklahoma,2007,253227.0,51430.0,4923.721563289909,466.0,51430.0,9.060859420571653,4405.0,46170.0,9.540827377084687,921.0,145752.0,0.631895274164334
Oregon,2007,506417.0,67890.0,7459.375460303432,1887.0,67890.0,27.794962439239946,10755.0,68335.0,15.738640520962903,4333.0,159585.0,2.7151674656139364
Pennsylvania,2007,3359930.0,218890.0,15349.856092101054,2497.0,218890.0,11.407556306820778,32570.0,221055.0,14.73388975594309,13510.0,565832.0,2.387634492216771
Rhode Island,2007,627776.0,18400.0,34118.260869565216,250.0,18400.0,13.58695652173913,3105.0,18935.0,16.398204383416953,1081.0,47341.0,2.28343296508312
South Carolina,2007,421688.0,54120.0,7791.722099039172,418.0,54120.0,7.723577235772358,5500.0,56755.0,9.690776143071094,2291.0,162746.0,1.4077150897717916
South Dakota,2007,61925.0,11550.0,5361.471861471861,58.0,11550.0,5.021645021645021,490.0,10360.0,4.72972972972973,240.0,35073.0,0.6842870584210076
Tennessee,2007,1907931.0,70820.0,26940.567636260945,620.0,70820.0,8.75458909912454,7545.0,71595.0,10.538445422166353,3659.0,248692.0,1.4712978302478568
Texas,2007,6692848.0,441410.0,15162.429487324707,5722.0,441410.0,12.96300491606443,85750.0,416640.0,20.58131720430108,17853.0,1191093.0,1.498875402676365
Utah,2007,991251.0,51340.0,19307.576938059992,639.0,51340.0,12.446435527853524,4580.0,50495.0,9.070204970789188,2337.0,114813.0,2.0354837866792086
Vermont,2007,108366.0,12760.0,8492.633228840125,453.0,12760.0,35.50156739811913,850.0,11855.0,7.169970476592155,534.0,24798.0,2.153399467699008
Virginia,2007,9088208.0,254710.0,35680.6093204036,1003.0,254710.0,3.937811628911312,45090.0,248280.0,18.160947317544707,9473.0,391700.0,2.418432473832014
Washington,2007,4751106.0,183900.0,25835.2691680261,3187.0,183900.0,17.330070690592713,32890.0,179230.0,18.35072253528985,15061.0,342024.0,4.403492152597479
West Virginia,2007,219100.0,16560.0,13230.676328502415,101.0,16560.0,6.099033816425121,1150.0,16185.0,7.105344454742045,650.0,59274.0,1.096602220197726
Wisconsin,2007,671413.0,99380.0,6756.017307305293,1395.0,99380.0,14.037029583417189,9455.0,99000.0,9.55050505050505,4555.0,245840.0,1.852831109664823
Wyoming,2007,36583.0,8110.0,4510.850801479654,53.0,8110.0,6.535141800246609,330.0,7680.0,4.296875,129.0,36951.0,0.3491109848177315
Puerto Rico,2007,85850.0,23630.0,3633.093525179856,30.0,23630.0,1.269572577232332,1390.0,26250.0,5.295238095238095,,89524.0,
United States,2008,125091757.0,5781460.0,21636.707163934367,77160.0,5781460.0,13.346109806173528,1192410.0,5803200.0,20.547456575682386,404777.0,14863501.0,2.7232951375318644
Alabama,2008,2782192.8,68580.0,40568.57392825896,263.0,68580.0,3.834937299504229,4020.0,65910.0,6.099226217569413,4870.0,174526.0,2.790415181692126
Alaska,2008,222163.3,13260.0,16754.396681749622,19.0,13260.0,1.4328808446455503,1065.0,16615.0,6.409870598856456,269.0,55123.0,0.4879995646100539
Arizona,2008,2449175.7,102100.0,23988.00881488737,1552.0,102100.0,15.200783545543583,17265.0,110645.0,15.603958606353654,7010.0,262926.0,2.6661494108608506
Arkansas,2008,145264.6,29310.0,4956.144660525419,111.0,29310.0,3.787103377686796,995.0,25610.0,3.885201093322921,747.0,99707.0,0.7491951417653725
California,2008,19938653.1,791750.0,25183.016229870544,19184.0,791750.0,24.229870539943164,301185.0,803055.0,37.50490315109177,81323.0,1944695.0,4.181786861178746
Colorado,2008,2668121.2,147000.0,18150.484353741496,1611.0,147000.0,10.959183673469386,17860.0,150390.0,11.875789613671122,5810.0,258872.0,2.244352421273834
Connecticut,2008,1815401.1,80290.0,22610.550504421477,1318.0,80290.0,16.41549383484867,18265.0,83305.0,21.92545465458256,11322.0,238937.0,4.7384875511118
Delaware,2008,144313.8,22330.0,6462.776533811016,307.0,22330.0,13.748320644872368,3105.0,17645.0,17.597052989515443,1594.0,55460.0,2.87414352686621
District of Columbia,2008,17537243.7,63360.0,276787.3058712121,62.0,63360.0,0.9785353535353536,3975.0,20870.0,19.046478198370867,5946.0,99497.0,5.97605957968582
Florida,2008,2290401.4,248200.0,9228.047542304592,2013.0,248200.0,8.110394842868654,56430.0,248495.0,22.708706412603878,6515.0,763342.0,0.8534837595730353
Georgia,2008,1386020.6,147380.0,9404.40086850319,1338.0,147380.0,9.078572397883024,28215.0,165950.0,17.002109068996685,5232.0,416378.0,1.256550538212874
Hawaii,2008,347753.2,18830.0,18468.040361125863,81.0,18830.0,4.301646309081253,4485.0,21990.0,20.395634379263303,663.0,65678.0,1.0094704467249307
Idaho,2008,355408.2,23310.0,15247.027027027028,1162.0,23310.0,49.84984984984985,2895.0,29060.0,9.96214728148658,1375.0,56201.0,2.4465756837066954
Illinois,2008,2168529.6,224370.0,9664.97125284129,2719.0,224370.0,12.11837589695592,54350.0,242990.0,22.36717560393432,11961.0,654658.0,1.8270608470376897
Indiana,2008,672028.7,90840.0,7397.938132981065,1008.0,90840.0,11.096433289299869,9170.0,105545.0,8.68823724477711,6111.0,275539.0,2.217834861852587
Iowa,2008,634853.3,46180.0,13747.364660025987,540.0,46180.0,11.69337375487224,4510.0,45710.0,9.866549989061474,2136.0,137549.0,1.5529011479545471
Kansas,2008,300405.6,54260.0,5536.409878363435,406.0,54260.0,7.482491706597862,7700.0,53335.0,14.43704884222368,2029.0,128604.0,1.577711424216976
Kentucky,2008,252464.3,,,413.0,,,4410.0,48115.0,9.165540891613842,1463.0,159884.0,0.9150384028420604
Louisiana,2008,406130.5,41790.0,9718.365637712372,257.0,41790.0,6.149796602057909,3520.0,47250.0,7.449735449735449,1193.0,212392.0,0.5616972390673849
Maine,2008,168008.8,17000.0,9882.870588235292,118.0,17000.0,6.941176470588236,925.0,18725.0,4.939919893190922,516.0,50713.0,1.0174905842683335
Maryland,2008,13312685.3,167070.0,79683.27826659485,1184.0,167070.0,7.086849823427306,43220.0,199425.0,21.672307885169865,16605.0,295400.0,5.621191604603927
Massachusetts,2008,6883096.4,217310.0,31674.089549491517,3510.0,217310.0,16.152040863282867,57335.0,202510.0,28.31218211446349,20090.0,390778.0,5.141026362794221
Michigan,2008,1866491.4,204290.0,9136.479514415782,2969.0,204290.0,14.533261539967691,33985.0,194620.0,17.462234097215084,15507.0,390421.0,3.971866267439508
Minnesota,2008,1393036.7,134440.0,10361.772537935138,2558.0,134440.0,19.027075275215708,15335.0,123015.0,12.46595943584116,6697.0,267421.0,2.5042909868708887
Mississippi,2008,435207.0,27270.0,15959.185918591858,105.0,27270.0,3.8503850385038505,1110.0,27175.0,4.084636614535419,808.0,94515.0,0.8548907580807279
Missouri,2008,1111284.6,105390.0,10544.4975804156,616.0,105390.0,5.844956827023437,8435.0,95380.0,8.843573076116586,3884.0,254046.0,1.5288569786574089
Montana,2008,159461.0,,,91.0,,,570.0,14580.0,3.909465020576132,401.0,37225.0,1.0772330423102754
Nebraska,2008,204579.1,31820.0,6429.261470773099,190.0,31820.0,5.971087366436203,3550.0,28215.0,12.581959950381002,988.0,85628.0,1.1538281870416218
Nevada,2008,312624.4,27300.0,11451.443223443224,375.0,27300.0,13.736263736263735,4105.0,29925.0,13.717627401837929,913.0,130610.0,0.6990276395375545
New Hampshire,2008,294312.1,29150.0,10096.46998284734,483.0,29150.0,16.569468267581474,4670.0,38645.0,12.08435761418036,2496.0,61700.0,4.045380875202593
New Jersey,2008,2192726.3,198060.0,11071.020397859234,2668.0,198060.0,13.470665454912652,81455.0,213710.0,38.11473492115484,20713.0,496227.0,4.174097741557795
New Mexico,2008,3502888.0,34560.0,101356.71296296296,285.0,34560.0,8.246527777777779,3485.0,35265.0,9.88231958032043,5906.0,84688.0,6.973833364821462
New York,2008,4651186.5,326510.0,14245.15788184129,4880.0,326510.0,14.945943462681084,83825.0,303560.0,27.61398076162867,16486.0,1116591.0,1.4764582555295538
North Carolina,2008,1772566.5,153680.0,11534.13912024987,1822.0,153680.0,11.8558042686101,20710.0,153815.0,13.46422650586744,8612.0,418793.0,2.056385851721495
North Dakota,2008,98325.6,9450.0,10404.825396825398,63.0,9450.0,6.666666666666667,600.0,10430.0,5.752636625119846,511.0,31874.0,1.6031875509819915
Ohio,2008,2580353.0,206320.0,12506.557774331137,2221.0,206320.0,10.764831329972855,23370.0,203440.0,11.487416437278805,10164.0,496919.0,2.0454037780805323
Oklahoma,2008,260753.1,48900.0,5332.374233128834,413.0,48900.0,8.445807770961146,4135.0,47475.0,8.70984728804634,1030.0,160764.0,0.6406907018984349
Oregon,2008,581073.5,70070.0,8292.757242757243,1805.0,70070.0,25.7599543313829,14465.0,75670.0,19.11589797806264,4802.0,164925.0,2.9116264968925267
Pennsylvania,2008,3279378.2,227170.0,14435.789056653608,2448.0,227170.0,10.776070783994363,29885.0,217475.0,13.741809403379698,13068.0,588025.0,2.222354491730794
Rhode Island,2008,643721.3,18090.0,35584.372581536765,212.0,18090.0,11.7191818684356,2835.0,19450.0,14.575835475578405,1233.0,47278.0,2.607978340877364
South Carolina,2008,453003.0,57770.0,7841.492123939761,386.0,57770.0,6.681668686169292,4400.0,60560.0,7.26552179656539,2086.0,163886.0,1.2728359957531454
South Dakota,2008,76379.4,11870.0,6434.658803706823,52.0,11870.0,4.380791912384161,450.0,10450.0,4.30622009569378,254.0,36603.0,0.6939321913504357
Tennessee,2008,1689924.8,72760.0,23226.014293567896,574.0,72760.0,7.88894997251237,7030.0,82660.0,8.504718122429228,3871.0,254242.0,1.522565115126533
Texas,2008,5029587.8,463850.0,10843.134202867306,5688.0,463850.0,12.262584887355828,95750.0,437520.0,21.884713841652957,20316.0,1244295.0,1.6327317878798835
Utah,2008,699928.5,52570.0,13314.219136389576,641.0,52570.0,12.193266121361994,5445.0,54105.0,10.06376490158026,2522.0,117179.0,2.152262777460125
Vermont,2008,120984.7,12360.0,9788.406148867314,430.0,12360.0,34.78964401294499,765.0,11795.0,6.485799067401442,546.0,25999.0,2.1000807723373973
Virginia,2008,9282197.3,259280.0,35799.89702252392,1043.0,259280.0,4.022678185745141,45100.0,248140.0,18.17522366406061,11472.0,404635.0,2.835147725728125
Washington,2008,4339544.3,,,3480.0,,,41510.0,184870.0,22.4536160545248,16696.0,354794.0,4.705829298127927
West Virginia,2008,224575.3,17000.0,13210.311764705884,76.0,17000.0,4.470588235294118,850.0,17295.0,4.914715235617231,778.0,62695.0,1.2409283036924794
Wisconsin,2008,660914.6,101680.0,6499.946892210857,1347.0,101680.0,13.24744295830055,8525.0,103530.0,8.234328214044238,4967.0,246815.0,2.0124384660575734
Wyoming,2008,47357.5,8850.0,5351.129943502825,38.0,8850.0,4.293785310734463,40.0,8090.0,0.4944375772558714,154.0,42819.0,0.3596534248814778
Puerto Rico,2008,84929.4,22970.0,3697.405311275577,17.0,22970.0,0.740095777100566,1120.0,29195.0,3.836273334475081,,93639.0,
United States,2009,138975460.8,5785710.0,24020.467807753936,81961.0,5785710.0,14.166109258846364,1204070.0,5764180.0,20.88883414466585,402932.0,14574453.0,2.7646457812173124
Alabama,2009,3023300.9,68670.0,44026.51667394787,300.0,68670.0,4.36871996505024,5580.0,65690.0,8.494443598721267,3936.0,170931.0,2.302683538971866
Alaska,2009,247310.0,14780.0,16732.74695534506,38.0,14780.0,2.571041948579161,925.0,12320.0,7.508116883116883,300.0,49958.0,0.6005044237159214
Arizona,2009,3141545.2,102820.0,30553.83388445828,1541.0,102820.0,14.987356545419178,19210.0,114640.0,16.756803907885555,6511.0,246424.0,2.6421939421484923
Arkansas,2009,171160.4,31420.0,5447.498408656906,96.0,31420.0,3.0553787396562697,1590.0,25750.0,6.174757281553398,986.0,97508.0,1.0111990811010378
California,2009,26988821.2,795240.0,33937.95734620995,20601.0,795240.0,25.905387052965143,309435.0,806240.0,38.38001091486406,79671.0,1890166.0,4.215026616709855
Colorado,2009,3862299.3,148090.0,26080.75697211155,1711.0,148090.0,11.553784860557768,18160.0,150325.0,12.080492266755364,6087.0,251228.0,2.422898721480089
Connecticut,2009,2364525.5,79160.0,29870.205912076806,1396.0,79160.0,17.635169277412835,17565.0,82020.0,21.41550841258229,11447.0,233291.0,4.906747367022303
Delaware,2009,225170.3,22200.0,10142.806306306304,315.0,22200.0,14.18918918918919,4880.0,17035.0,28.646903434106253,2244.0,57850.0,3.878997407087295
District of Columbia,2009,4265482.9,61430.0,69436.47891909491,57.0,61430.0,0.9278853980139996,4060.0,22295.0,18.210361067503925,4200.0,100446.0,4.181351173765008
Florida,2009,3734399.5,247070.0,15114.74278544542,2157.0,247070.0,8.7303193426964,54775.0,250790.0,21.840982495314805,7098.0,735421.0,0.965161451739888
Georgia,2009,1957569.7,,,1410.0,,,29875.0,170410.0,17.53124816618743,5918.0,409591.0,1.4448559660734732
Hawaii,2009,387488.1,19020.0,20372.66561514196,73.0,19020.0,3.838065194532071,3390.0,19430.0,17.447246525990735,671.0,64550.0,1.0395042602633615
Idaho,2009,387977.6,23520.0,16495.6462585034,942.0,23520.0,40.05102040816327,2150.0,25535.0,8.419815938907382,1563.0,54064.0,2.891018052678308
Illinois,2009,2745521.3,221170.0,12413.624361350996,2875.0,221170.0,12.99905050413709,52030.0,236315.0,22.017222774686328,12491.0,649863.0,1.9220974266883943
Indiana,2009,1109217.5,90750.0,12222.782369146003,1108.0,90750.0,12.209366391184574,7785.0,87550.0,8.892061679040548,6457.0,263327.0,2.452084290634838
Iowa,2009,683221.6,47080.0,14511.928632115549,652.0,47080.0,13.848768054375531,4220.0,48715.0,8.662629580211433,2608.0,136895.0,1.905109755652142
Kansas,2009,464230.1,56200.0,8260.32206405694,429.0,56200.0,7.633451957295374,6135.0,50350.0,12.18470705064548,2108.0,125349.0,1.6817046805319549
Kentucky,2009,319129.0,51200.0,6232.98828125,366.0,51200.0,7.1484375,4635.0,46300.0,10.010799136069116,1552.0,157480.0,0.985521971043942
Louisiana,2009,405552.5,43630.0,9295.267018106808,265.0,43630.0,6.073802429520971,2620.0,45795.0,5.721148597008407,1175.0,204907.0,0.5734308735182302
Maine,2009,194231.0,17910.0,10844.835287548856,115.0,17910.0,6.420993858179788,1305.0,19165.0,6.809287764153405,757.0,51124.0,1.4807135591894218
Maryland,2009,15970508.4,169540.0,94199.05862923204,1258.0,169540.0,7.420077857732688,46905.0,213515.0,21.96801161510901,18388.0,299103.0,6.1477150011868815
Massachusetts,2009,9047013.4,217690.0,41559.15935504617,3714.0,217690.0,17.060958243373605,53760.0,200475.0,26.816311260755704,20254.0,390505.0,5.186617328843421
Michigan,2009,2427422.1,187760.0,12928.323924158502,2961.0,187760.0,15.770132083510864,31255.0,174250.0,17.93687230989957,13916.0,368734.0,3.773994261445921
Minnesota,2009,1550573.4,134060.0,11566.26435924213,2608.0,134060.0,19.45397583171714,15055.0,116790.0,12.890658446784828,7928.0,262089.0,3.024926647055008
Mississippi,2009,384646.5,25940.0,14828.31534309946,131.0,25940.0,5.050115651503469,1345.0,22330.0,6.023287057769816,841.0,91792.0,0.9162018476555692
Missouri,2009,1284600.4,104310.0,12315.218099894544,711.0,104310.0,6.816220880069025,10095.0,96780.0,10.430874147551148,4416.0,253318.0,1.743263408048382
