State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
Vermont,2003,201149.0,11420.0,17613.74781085814,440.0,11420.0,38.52889667250438,,,,492.0,21293.0,2.3106185131263794
Virginia,2003,6709197.0,209280.0,32058.471903669728,1108.0,209280.0,5.29434250764526,,,,7582.0,311666.0,2.4327324764331046
Washington,2003,2442177.0,150230.0,16256.253744258804,2263.0,150230.0,15.063569193902683,,,,11469.0,255370.0,4.491130516505463
West Virginia,2003,383400.0,16220.0,23637.48458692972,137.0,16220.0,8.446362515413071,,,,538.0,47040.0,1.1437074829931972
Wisconsin,2003,658448.0,93320.0,7055.80797256751,1761.0,93320.0,18.87055293613373,,,,3642.0,203339.0,1.7910976251481514
Wyoming,2003,42979.0,6130.0,7011.256117455138,68.0,6130.0,11.092985318107669,,,,113.0,21194.0,0.5331697650278381
Puerto Rico,2003,112225.0,19940.0,5628.1344032096285,27.0,19940.0,1.354062186559679,,,,,75879.0,
United States,2004,109732927.0,5174260.0,21207.462902907857,83971.0,5174260.0,16.228600804752755,,,,302731.0,12297518.0,2.4617243902387456
Alabama,2004,3035516.0,59880.0,50693.31997327989,372.0,59880.0,6.212424849699398,,,,2760.0,147715.0,1.8684629184578407
Alaska,2004,461308.0,10870.0,42438.63845446183,43.0,10870.0,3.955841766329347,,,,271.0,35302.0,0.7676618888448247
Arizona,2004,2643735.0,98400.0,26867.225609756097,1590.0,98400.0,16.158536585365855,,,,3544.0,206541.0,1.7158820766821117
Arkansas,2004,146682.0,24170.0,6068.762929251137,138.0,24170.0,5.709557302441042,,,,514.0,85200.0,0.6032863849765259
California,2004,19259424.0,703250.0,27386.31212228937,19468.0,703250.0,27.68290081763242,,,,59607.0,1588177.0,3.7531710886129193
Colorado,2004,2068038.0,125510.0,16477.07752370329,2069.0,125510.0,16.48474225161342,,,,5497.0,204167.0,2.6924037675040533
Connecticut,2004,2122540.0,83840.0,25316.55534351145,1548.0,83840.0,18.463740458015263,,,,7881.0,195355.0,4.034194159350926
Delaware,2004,89747.0,18420.0,4872.258414766558,355.0,18420.0,19.27252985884908,,,,1182.0,51354.0,2.301670755929431
District of Columbia,2004,3329397.0,61460.0,54171.77025707778,74.0,61460.0,1.2040351448096325,,,,2383.0,80140.0,2.973546293985525
Florida,2004,3265014.0,235170.0,13883.633116468938,2412.0,235170.0,10.256410256410255,,,,5409.0,646631.0,0.8364894352420469
Georgia,2004,1906523.0,139230.0,13693.334769805357,1327.0,139230.0,9.530991883933062,,,,3655.0,364782.0,1.001968298874396
Hawaii,2004,488209.0,17630.0,27691.94554736245,79.0,17630.0,4.480998298355077,,,,490.0,52354.0,0.9359361271345074
Idaho,2004,288538.0,23050.0,12517.917570498914,1794.0,23050.0,77.83080260303687,,,,1006.0,44328.0,2.269445948384768
Illinois,2004,1880072.0,219040.0,8583.235938641345,3143.0,219040.0,14.348977355734112,,,,11300.0,563061.0,2.0068873532352622
Indiana,2004,556743.0,80950.0,6877.615812229771,1283.0,80950.0,15.849289684990731,,,,5130.0,239744.0,2.139782434596903
Iowa,2004,538270.0,40060.0,13436.595107338992,641.0,40060.0,16.000998502246627,,,,1625.0,117189.0,1.386648917560522
Kansas,2004,287446.0,52650.0,5459.563152896486,437.0,52650.0,8.300094966761634,,,,2169.0,99083.0,2.189073806808433
Kentucky,2004,251763.0,43740.0,5755.898491083676,414.0,43740.0,9.465020576131687,,,,1006.0,135529.0,0.7422765607360786
Louisiana,2004,446722.0,42520.0,10506.161806208842,357.0,42520.0,8.396048918156161,,,,972.0,171006.0,0.5684011087330268
Maine,2004,210258.0,14980.0,14035.914552736984,136.0,14980.0,9.078771695594124,,,,384.0,45210.0,0.849369608493696
Maryland,2004,12608595.0,158350.0,79624.85001578782,1329.0,158350.0,8.392800757814967,,,,14341.0,245125.0,5.850484446710862
Massachusetts,2004,5963595.0,190960.0,31229.55069124424,3669.0,190960.0,19.2134478424801,,,,15987.0,326737.0,4.8929261148875085
Michigan,2004,1117762.0,188580.0,5927.256336833175,3738.0,188580.0,19.821826280623608,,,,16722.0,385621.0,4.336382095373437
Minnesota,2004,831259.0,118590.0,7009.52019563201,2725.0,118590.0,22.978328695505525,,,,5992.0,231267.0,2.5909446656894413
Mississippi,2004,1598715.0,22970.0,69600.13060513714,134.0,22970.0,5.833696125380931,,,,651.0,77998.0,0.834636785558604
Missouri,2004,3058821.0,91820.0,33313.23241123938,769.0,91820.0,8.37508168155086,,,,3038.0,217084.0,1.3994582742164323
Montana,2004,188774.0,11640.0,16217.697594501718,120.0,11640.0,10.309278350515465,,,,295.0,28161.0,1.0475480274137992
Nebraska,2004,210458.0,31760.0,6626.511335012594,192.0,31760.0,6.045340050377834,,,,740.0,70469.0,1.0501071393094836
Nevada,2004,554983.0,24440.0,22707.978723404256,413.0,24440.0,16.898527004909983,,,,623.0,103231.0,0.603500886361655
New Hampshire,2004,422144.0,25620.0,16477.127244340358,639.0,25620.0,24.94145199063232,,,,1665.0,54918.0,3.0317928548017044
New Jersey,2004,2273723.0,171990.0,13220.088377231235,2927.0,171990.0,17.01843130414559,,,,12460.0,414849.0,3.003502479215329
New Mexico,2004,3363175.0,32000.0,105099.21875,368.0,32000.0,11.5,,,,5114.0,69957.0,7.310204840116071
New York,2004,4505321.0,283150.0,15911.42857142857,5812.0,283150.0,20.526222850079463,,,,13113.0,967152.0,1.355836517941337
North Carolina,2004,1683581.0,136430.0,12340.25507586308,1783.0,136430.0,13.068973099758118,,,,6491.0,329879.0,1.9676911837370672
North Dakota,2004,108573.0,8460.0,12833.687943262412,56.0,8460.0,6.619385342789598,,,,558.0,23259.0,2.3990713272281696
Ohio,2004,2794181.0,181180.0,15422.127166353905,2886.0,181180.0,15.928910475769952,,,,7816.0,446225.0,1.7515827217211049
Oklahoma,2004,498478.0,46320.0,10761.614853195164,451.0,46320.0,9.736614853195166,,,,814.0,113874.0,0.7148251576303634
Oregon,2004,504810.0,64820.0,7787.874112928109,1726.0,64820.0,26.62758407898797,,,,3664.0,135647.0,2.701128664843307
Pennsylvania,2004,3731084.0,195510.0,19083.85248836377,2850.0,195510.0,14.57725947521866,,,,10813.0,487306.0,2.218934304112816
Rhode Island,2004,642064.0,19330.0,33215.93378168649,297.0,19330.0,15.36471805483704,,,,1840.0,42364.0,4.3433103578510055
South Carolina,2004,384307.0,50840.0,7559.146341463415,521.0,50840.0,10.247836349331235,,,,1599.0,136982.0,1.1673066534289176
South Dakota,2004,70036.0,9530.0,7349.00314795383,81.0,9530.0,8.499475341028331,,,,149.0,29271.0,0.5090362474804414
Tennessee,2004,1381987.0,65730.0,21025.209189106958,695.0,65730.0,10.57355849688118,,,,3180.0,219328.0,1.449883279836592
Texas,2004,5506721.0,384600.0,14318.047321892876,5905.0,384600.0,15.353614144565782,,,,14266.0,913444.0,1.5617815651534193
Utah,2004,1183694.0,45250.0,26158.983425414364,686.0,45250.0,15.160220994475138,,,,1602.0,86082.0,1.8610162403289887
Vermont,2004,417091.0,12510.0,33340.607513988805,404.0,12510.0,32.29416466826539,,,,546.0,22938.0,2.3803295840962595
Virginia,2004,7298269.0,233590.0,31243.92739415215,1088.0,233590.0,4.657733635857699,,,,7345.0,332115.0,2.21158333709709
Washington,2004,2311260.0,156780.0,14742.058936088786,2225.0,156780.0,14.191861206786578,,,,10936.0,268378.0,4.074849652356005
West Virginia,2004,315693.0,15990.0,19743.15196998124,101.0,15990.0,6.316447779862415,,,,523.0,49741.0,1.0514464928328744
Wisconsin,2004,645875.0,93760.0,6888.598549488054,1633.0,93760.0,17.416808873720136,,,,3675.0,215537.0,1.7050436815952714
Wyoming,2004,47596.0,6960.0,6838.505747126437,50.0,6960.0,7.183908045977011,,,,98.0,23429.0,0.4182850313713774
Puerto Rico,2004,100904.0,20600.0,4898.252427184466,18.0,20600.0,0.8737864077669903,,,,,80322.0,
United States,2005,116585521.0,5233520.0,22276.693506473657,74313.0,5233520.0,14.199429829254498,1079655.0,5319585.0,20.29585014620501,325288.0,13123112.0,2.478741322942302
Alabama,2005,3108183.0,62790.0,49501.242236024846,320.0,62790.0,5.096352922439879,4655.0,61985.0,7.5098814229249,2804.0,158847.0,1.7652206211008077
Alaska,2005,495147.0,11230.0,44091.45146927872,39.0,11230.0,3.472840605520926,1110.0,12375.0,8.969696969696969,266.0,40357.0,0.6591173774066458
Arizona,2005,2958775.0,96410.0,30689.503163572244,1434.0,96410.0,14.873975728658854,15565.0,101355.0,15.356913817769229,4139.0,227916.0,1.8160199371698345
